neighbourhood,price,availability
Arakawa Ku,12972.0,134.0
Bunkyo Ku,15038.0,152.0
Chiyoda Ku,22374.0,166.0
Chuo Ku,25429.0,165.5
Hinohara Mura,44771.5,132.0
Komae Shi,15306.0,167.0
Minato Ku,24293.0,151.0
Musashino Shi,14118.0,132.0
Nakano Ku,14997.0,149.0
Okutama Machi,15543.0,126.5
Shibuya Ku,21972.0,154.0
Shinagawa Ku,14229.0,155.0
Shinjuku Ku,17994.0,147.0
Sumida Ku,15082.0,140.0
Toshima Ku,14852.5,155.0
