neighbourhood,room_type,price,premium
Shinjuku Ku,Shared room,6550.0,0.404320987654321
Suginami Ku,Entire home/apt,13746.0,0.8485185185185186
Suginami Ku,Hotel room,21143.0,1.3051234567901235
Suginami Ku,Private room,7700.0,0.47530864197530864
Suginami Ku,Shared room,3181.0,0.19635802469135802
Sumida Ku,Entire home/apt,15474.5,0.9552160493827161
Sumida Ku,Hotel room,10750.0,0.6635802469135802
Sumida Ku,Private room,12850.5,0.7932407407407407
Sumida Ku,Shared room,2893.0,0.17858024691358024
Tachikawa Shi,Entire home/apt,9012.0,0.5562962962962963
Tachikawa Shi,Private room,3875.0,0.23919753086419754
Taito Ku,Entire home/apt,21858.0,1.3492592592592592
Taito Ku,Hotel room,11829.0,0.7301851851851852
Taito Ku,Private room,16123.0,0.9952469135802469
Taito Ku,Shared room,2525.0,0.1558641975308642
Tama Shi,Entire home/apt,4508.0,0.2782716049382716
Tama Shi,Private room,10776.0,0.6651851851851852
Toshima Ku,Entire home/apt,15298.0,0.944320987654321
Toshima Ku,Hotel room,3566.0,0.22012345679012346
Toshima Ku,Private room,11821.5,0.7297222222222223
Toshima Ku,Shared room,1700.0,0.10493827160493827
